35676817,"Pfäffikon SZ","POINT(977188.049138442 5975327.70775789)",NULL,"pt"
35676831,"Hurden","POINT(979684.388719481 5977106.2363423)","Hurden","pt"
35678878,"Uznach Bahnhof","POINT(999719.670672454 5978796.87642756)","Uznach, Bahnhof","pt"
35818940,NULL,"POINT(768342.706069368 5951768.48262836)",NULL,"po"
35830132,"Kleindorf","POINT(966605.81796855 5985287.30446917)","Uetikon am See, Kleindorf","pt"
35830378,"Grüt","POINT(965201.366744905 5986483.68320426)","Meilen, Grüt","pt"
35830458,"Grossdorf","POINT(965573.518934576 5985667.93018092)","Uetikon am See, Grossdorf","pt"
35830686,"Hallenbad","POINT(962439.46338663 5986645.69456031)","Meilen, Hallenbad","pt"
35831082,"Vorderer Pfannenstiel","POINT(966250.408230294 5988809.50452201)","Meilen, Vorderer Pfannenstiel","pt"
36258964,"Bergstation Dolderbahn","POINT(954524.235709112 6003199.0405477)","Zürich, Dolder","pt"
36302900,"Neu-Reinach","POINT(846465.838266678 6022198.48293677)","Reinach BL, Neu-Reinach","pt"
36464579,"Russin","POINT(669895.492861205 5810535.40784801)",NULL,"pt"
36464618,"Satigny","POINT(672093.663186154 5814735.92079293)","Satigny","pt"
37110427,NULL,"POINT(974275.641828613 6028945.09181128)",NULL,"pt"
38453880,"Obstalden, Post","POINT(1018624.80375905 5961238.534931)",NULL,"pt"
39768439,"St. Josef","POINT(998199.981511941 5979590.0176703)","Uznach, St. Josef","pt"
39797246,"Tor","POINT(1000498.66220513 5978950.13875199)","Uznach, Tor","pt"
41141413,"Gossau SG AB","POINT(1030094.10655522 6009471.73374416)","Gossau SG AB","pt"
41141842,"Waldstatt","POINT(1033727.34096379 6000643.66712392)","Waldstatt","pt"
41147955,"Skilift Bömmeli","POINT(1036180.9895201 5994773.55392422)",NULL,"pt"
41147989,"Jakobsbad Bahnhof","POINT(1038455.76991862 5994477.80346766)","Jakobsbad","pt"
41268735,"Altmarkt","POINT(862146.947392865 6020233.77692284)","Altmarkt","pt"
